População residente  (pessoas);

UF;CÓDIGO;NOME;Valor;
GO;520005;Abadia de Goiás;6876;
GO;520010;Abadiânia;15757;
GO;520013;Acreúna;20279;
GO;520015;Adelândia;2477;
GO;520017;Água Fria de Goiás;5090;
GO;520020;Água Limpa;2013;
GO;520025;Águas Lindas de Goiás;159378;
GO;520030;Alexânia;23814;
GO;520050;Aloândia;2051;
GO;520055;Alto Horizonte;4505;
GO;520060;Alto Paraíso de Goiás;6885;
GO;520080;Alvorada do Norte;8084;
GO;520082;Amaralina;3434;
GO;520085;Americano do Brasil;5508;
GO;520090;Amorinópolis;3609;
GO;520110;Anápolis;334613;
GO;520120;Anhanguera;1020;
GO;520130;Anicuns;20239;
GO;520140;Aparecida de Goiânia;455657;
GO;520145;Aparecida do Rio Doce;2427;
GO;520150;Aporé;3803;
GO;520160;Araçu;3802;
GO;520170;Aragarças;18305;
GO;520180;Aragoiânia;8365;
GO;520215;Araguapaz;7510;
GO;520235;Arenópolis;3277;
GO;520250;Aruanã;7496;
GO;520260;Aurilândia;3650;
GO;520280;Avelinópolis;2450;
GO;520310;Baliza;3714;
GO;520320;Barro Alto;8716;
GO;520330;Bela Vista de Goiás;24554;
GO;520340;Bom Jardim de Goiás;8423;
GO;520350;Bom Jesus de Goiás;20727;
GO;520355;Bonfinópolis;7536;
GO;520357;Bonópolis;3503;
GO;520360;Brazabrantes;3232;
GO;520380;Britânia;5509;
GO;520390;Buriti Alegre;9054;
GO;520393;Buriti de Goiás;2560;
GO;520396;Buritinópolis;3321;
GO;520400;Cabeceiras;7354;
GO;520410;Cachoeira Alta;10553;
GO;520420;Cachoeira de Goiás;1417;
GO;520425;Cachoeira Dourada;8254;
GO;520430;Caçu;13283;
GO;520440;Caiapônia;16757;
GO;520450;Caldas Novas;70473;
GO;520455;Caldazinha;3325;
GO;520460;Campestre de Goiás;3387;
GO;520465;Campinaçu;3656;
GO;520470;Campinorte;11111;
GO;520480;Campo Alegre de Goiás;6060;
GO;520485;Campo Limpo de Goiás;6241;
GO;520490;Campos Belos;18410;
GO;520495;Campos Verdes;5020;
GO;520500;Carmo do Rio Verde;8928;
GO;520505;Castelândia;3638;
GO;520510;Catalão;86647;
GO;520520;Caturaí;4686;
GO;520530;Cavalcante;9392;
GO;520540;Ceres;20722;
GO;520545;Cezarina;7545;
GO;520547;Chapadão do Céu;7001;
GO;520549;Cidade Ocidental;55915;
GO;520551;Cocalzinho de Goiás;17407;
GO;520552;Colinas do Sul;3523;
